Concept Name,Territory,Location Code2,Location Code,Location Name,Status,Group Code,Group Name,Department Code,Department Name,Class Code,Class Name,Subclass Code,Subclass name,Item Code,Item Description,1.TY Net Sales,1.TY Retail Quantity,2.LY Net Sales,2.LY Retail Quantity,Fiscal Year,Fiscal Quarter,Date,HC-Price Range,HC Life Style,Active/Inactive,All-Plan Current Season,UDA,Range Name,Dep+Range
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,161608644,Colton 120x200 Bed HEAD PANEL /FOOT BOARD/MATTRESS BOARD/SHELF/DOOR/FIX/HARDWARE - Waton Oak,0,0,,,2025-26,202601,July,ENTRY,URBAN LOFT,CURRENT,P2-2018-19-N,N,Colton,Bedroom-Colton
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,4649.19,1,2024-25,202501,July,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,4868.69,1,2024-25,202501,September,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,22882.87,5,2024-25,202503,February,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,3659.71,1,2024-25,202504,April,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,4173.04,1,,,2025-26,202601,August,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,3704.4,1,,,2025-26,202601,September,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,4173.04,1,,,2025-26,202603,January,PREMIUM,MODERN LUXE,CURRENT,P2-2019-20-C,C,Adele,Bedroom-Adele
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,164067383,Hannah 200x200 superking Bed - HG White/Silver,,,1290.43,1,2024-25,202503,January,MID,MODERN LUXE,DISCONTINUED,P2-2024-25-D,D,Hannah,Bedroom-Hannah
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,166059168,Leila 200x200 Superking Bed - Beige/Gold,,,3442.69,1,2024-25,202503,February,PREMIUM,MODERN LUXE,CURRENT,P2-2023-24-C,C,Leila,Bedroom-Leila
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,166059168,Leila 200x200 Superking Bed - Beige/Gold,,,7650.43,2,2024-25,202503,March,PREMIUM,MODERN LUXE,CURRENT,P2-2023-24-C,C,Leila,Bedroom-Leila
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,166059168,Leila 200x200 Superking Bed - Beige/Gold,,,-3442.69,-1,2024-25,202504,April,PREMIUM,MODERN LUXE,CURRENT,P2-2023-24-C,C,Leila,Bedroom-Leila
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,166481467,Amara 200x200 Super King Bed - Walnut,,,6606.73,3,2024-25,202501,August,PREMIUM,HOMESTEAD,DISCONTINUED,P2-2024-25-D,D,Amara,Bedroom-Amara
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,166481467,Amara 200x200 Super King Bed - Walnut,,,2294.78,1,2024-25,202501,September,PREMIUM,HOMESTEAD,DISCONTINUED,P2-2024-25-D,D,Amara,Bedroom-Amara
Home Centre,Riyadh - KSA,1.Central,Cpr2,Cpr2,LFL,4000,Furniture,331,Bedroom,1,Beds,1,Super King Bed,166481467,Amara 200x200 Super King Bed - Walnut,,,1433.91,1,2024-25,202502,October,PREMIUM,HOMESTEAD,DISCONTINUED,P2-2024-25-D,D,Amara,Bedroom-Amara
