DEP,Subclass name,Item_Code,Item_scan_code,Item_Desc,Store,Range,TY_YTD_Sale_Value,TY_YTD_Sale_Qty,TY_MTD_Sale_Value,TY_MTD_Sale_Qty
346,Single Dinnerware,0400351610197,6292400059359,White Embossd 7.5in Sqr plate,21040,346-White,,,,
346,Single Dinnerware,0400351630197,6292400059366,White Embossd 9.5in Sqr plate,21040,346-White,,,,
346,Single Dinnerware,0400351670197,6292400059373,White Embossd 11in Sqr plate,21040,346-White,,,,
346,Single Dinnerware,0400351680197,6292400059380,White Embossd 13in Sqr plate,21040,346-White,,,,
346,Single Dinnerware,0400351690197,6292400059397,White Embossd 90cc Sqr Cup&Saucer,21040,346-White,,,0.87,1
346,Single Dinnerware,0400351700197,6292400059571,White Embossd 220cc Sqr Cup&Saucer,21040,346-White,,,,
346,Single Dinnerware,0400351720197,6292400059595,White Embossd 4in Sqr Bowl,21040,346-White,,,,
346,Single Dinnerware,0400351730197,6292400059601,White Embossd 6.5in Sqr Bowl,21040,346-White,,,,
346,Single Dinnerware,0400351740197,6292400059618,White Embossd 8.25in Sqr Bowl,21040,346-White,,,,
346,Single Dinnerware,0400351750197,6292400059625,White Embossd 10in Sqr Bowl,21040,346-White,,,,
346,Single Dinnerware,0400351760197,6292400144789,White Embossd Coffee Pot,21040,346-White,,,,
346,Single Dinnerware,0400351800197,6292400059649,White Embossd Salt Shaker,21040,346-White,,,,
346,Single Dinnerware,0400351810197,6292400059656,White Embossd Sugar Jar W/Hndl,21040,346-White,,,,
344,Pillows,0400515349791,6292400079470,Antibacterial Pillow 50x75 - White,21040,344-Antibacterial,27368.885,406,39135.338,585
345,Potpourri & Oils,0400575469797,6292400089059,Essentials Essence 250ml - Apple,21040,345-Essentials,,,,
349,Cosmetic & Beauty Storage,0400583651597,6292400082944,Wall Mounted Double Side Round Magnify Mirror(1x&5x) 20(dia)cm-Chrome,21040,349-Wall,43.48,1,922.6,10
346,Serveware,0400698059797,6292400067880,MOJO 6 EGG HLDR,21040,346-MOJO,,,,
347,Kitchen Accessories,0400767519797,6292400076769,Wdn Rolling Pin,21040,347-Wdn,1284.11,159,868.132,108
334,Coffee Tables,0400794791202,6292400073249,Tome Coffee Tbl-Chy,21040,334-Tome,,,1042.61,1
347,Kitchen Accessories,0400854521597,6292400079302,S/S Olive Oil Can - 500cc,21040,347-S/S,2133.021,54,5647.721,147
349,Tall Hangers & Rails,0400854581597,6292400141580,Kitty Tall Hanger,21040,349-Kitty,,,,
349,Tall Hangers & Rails,0400912021502,6292400071276,Nape Cloth Hanger-Silver 83-133 x 43 x 93.5-168 cm h,21040,349-Nape,12598.994,127,20295.426,208
347,Kitchen Accessories,0400921291297,6292400076790,Cutlery Bamboo Tray-34x25x4cm,21040,347-Cutlery,1017.36,29,3721.892,116
345,Potpourri & Oils,0400960689797,6292400089141,Essentials Essence 250ml - Lime,21040,345-Essentials,3520.04,42,3020.904,36
345,Revitalisers & Humidifiers,0400977269797,6292400072228,Air Revitalizer 1.8L D22x18cm Green,21040,345-Air,1423.49,13,1166.075,9
347,Kitchen Accessories,0400996871597,6292400103380,Lunar Plate Rack W/Foam,21040,347-Lunar,1339.15,32,2560.846,66
349,Waste Bins,0401002641597,6292400109689,Roger Pedal Bin 5L 28x23x28.5cm Black & Chrome,21040,349-Roger,,,3786.159,84
349,Waste Bins,0401002651597,6292400109719,Roger Pedal Bin 12L 33x28x40cm Black & Chrome,21040,349-Roger,297.39,6,3363.454,44
346,Single Dinnerware,0401011860197,6292400119985,Beautiful Home Mug 5inch Wht,21040,346-Beautiful,,,,
346,Single Dinnerware,0401011930197,6292400120059,Beautiful Home Tea Pot Wht,21040,346-Beautiful,,,,
346,Single Dinnerware,0401011990197,6292400120110,Beautiful Home Cup & Saucer Wht,21040,346-Beautiful,,,,
348,Shower Accessories,0401012020197,6292400120141,Bathroom Stool 49x40x41cm-White,21040,348-Bathroom,,,,
346,Single Dinnerware,0401012120197,6292400120240,Beautiful Home Sugar Jar Wht,21040,346-Beautiful,,,,
346,Single Dinnerware,0401012160197,6292400120288,Beautiful Home Flour Jar Wht,21040,346-Beautiful,,,,
346,Single Dinnerware,0401012170197,6292400120295,Beautiful Home Utensil Hlrdr 6inchWht,21040,346-Beautiful,,,,
346,Single Dinnerware,0401012210197,6292400120332,Beautiful Home Oil&Vinegar Bottle- 8inch-S/2,21040,346-Beautiful,,,,
346,Single Dinnerware,0401012260197,6292400120387,Beautiful Home Pasta Jar 8inch Wht,21040,346-Beautiful,,,,
344,Pillows,0401017650191,6292400126051,Indulgence Pillow 50x75cm - White,21040,344-Indulgence,15223.397,279,32878.861,586
344,Poles,0401027228197,6292400136593,19mm Metal Sgl Urn C/Rod-Bronze 71x122,21040,344-19mm,,,,
347,Food Storage & Bottles,0401048654197,6292400161366,6-Section Rnd Tea Bag Box 1500ml,21040,347-6-Section,1248.643,34,1834.78,62
349,Tall Hangers & Rails,0401055361502,6292400168365,Noah Cloth Hanger-Chrm,21040,349-Noah,19761.778,74,18185.263,63
345,Candles,100153098,6292400525748,WP Essentials 50 pcs T Light Candle Pack Unscented,21040,345-WP,,,1.74,1
345,Potpourri & Oils,102109841,6292401719801,Essentials Essence 250ml - Lavender,21040,345-Essentials,7602.702,92,5905.445,69
343,Wall Treatments & Tapestries,103010455,6292402405253,WP-Truss 3-Pieces Self Adhesive Hooks Set-54 mm,21040,343-WP-Truss,1224.066,297,2274.558,377
343,Wall Treatments & Tapestries,103010498,6292402405277,WP-Truss 5-Pieces Self Adhesive Angle Hooks Set,21040,343-WP-Truss,1423.367,316,1525.694,256
343,Wall Treatments & Tapestries,103010551,6292402405307,WP-Truss Self Adhesive Metal Flat Hooks,21040,343-WP-Truss,1829.284,327,1473.101,242
343,Wall Treatments & Tapestries,103010578,6292402405314,WP-Truss 2-Pieces Self Adhesive Hooks Set-80 mm,21040,343-WP-Truss,1769.462,368,2988.634,491
343,Wall Treatments & Tapestries,103010594,6292402405321,WP-Truss 2-Pieces Self Adhesive Steel Hooks Set,21040,343-WP-Truss,4071.361,848,5449.155,895
343,Wall Treatments & Tapestries,103010631,6292402405345,WP-Truss Glass Dots Protector,21040,343-WP-Truss,641.084,127,1223.698,201
343,Wall Treatments & Tapestries,103010658,6292402405352,WP- Truss Right Angle Corner Protector,21040,343-WP-,643.749,128,1101.906,181
343,Wall Treatments & Tapestries,103010754,6292402405406,WP-Truss S/8 25mm Furniture Slider,21040,343-WP-Truss,397.484,83,535.596,88
343,Wall Treatments & Tapestries,103010771,6292402405413,WP-Truss S/4 50mm Furniture Slider,21040,343-WP-Truss,281.838,56,538.9,90
343,Wall Treatments & Tapestries,103010931,6292402405499,WP-Truss 32-Pieces Floor Protecting Pads Set-20 mm-White,21040,343-WP-Truss,892.57,190,943.492,155
343,Wall Treatments & Tapestries,103010957,6292402405505,WP-Truss 18-Pieces Floor Protecting Pads Set-30 mm-White,21040,343-WP-Truss,869.98,197,1278.499,214
343,Wall Treatments & Tapestries,103010973,6292402405512,WP-Truss 32-Pieces Floor Protecting Pads-20 mm-Black,21040,343-WP-Truss,1326.521,237,950.658,165
343,Wall Treatments & Tapestries,103010990,6292402405529,WP-Truss 18-Pieces Floor Protecting Pads-30 mm-Black,21040,343-WP-Truss,1441.439,295,1394.186,229
349,Waste Bins,106591970,6292403933045,Roger Pedal Bin 30L 38x33x66.5cm Black   Chrome,21040,349-Roger,,,2027.82,14
334,Coffee Tables,110465415,6292405250201,Malmo CT & 4 stool W/Castors-D.Wlnt,21040,334-Malmo,,,,
333,Shelves,112809648,6292406515804,BP Chicago Shelf 60-HG Wht,21040,333-BP,59.99,1,419.94,7
333,Shelves,112809672,6292406515811,BP Chicago Shelf 60-HG Blk,21040,333-BP,,,1139.816,19
333,Shelves,112809736,6292406515835,BP Chicago Shelf 90-HG Wht,21040,333-BP,137.38,2,1236.383,18
333,Shelves,112809761,6292406515842,BP Chicago Shelf 90-HG Blk,21040,333-BP,1236.4,18,824.267,12
333,Shelves,112809883,6292406515880,BP Chicago Shelf 120-HG Wht,21040,333-BP,568.65,6,2843.298,30
